Location,OriginalTweet,Sentiment
Houston,CHECK VIDEO ?? https://t.co/1ksn9Brl02 ??No food ? in USA market due to coronavirus panic we gonna die from starvation #CoronavirusOutbreak #coronavirus #houston #nofood #Notoiletpaper #NoHandShakes #nohandsanitizer #COVID19 #pandemic #totallockdown #COVID2019usa #walmart https://t.co/ztN3iMkgpD,Extremely Negative
"Vancouver, British Columbia",Breaking Story: Online clothes shopping rises as people find mysterious white patches forming on clothes. #QuarantineLife #CoronavirusOutbreak #coronavirus #IMadeThisUp #FakeNews https://t.co/5Z24hptT9M,Neutral
,This is the line outside  @Target  in as customers wait for the store to open this morning,Neutral
Midrand,"South Africans stock up on food, basic goods as coronavirus panic hits https://t.co/6nGNFJmy89

#CoronaVirusSA 
#Covid_19 https://t.co/pzirO10avf",Negative
Drogheda, Please Share  Know someone who s 65 Living on their own struggling to get 2 their local supermarket due to issues around 19 We re offering FREE deliveries of our healthy soups NATIONWIDE to anyone 65 in need Plus their freezable,Extremely Positive
"Columbia, MO","People posting and sharing photos of of half to completely empty shelves calling those people ""dumb"" or ""idiots."" All while shopping at the grocery store. lol

#coronavirus #COVID19",Positive
"Arkansas, USA","Never thought I'd say this, but. 2019, Will you come back!? PLEASE! #coronavirus #COVID19 #peoplearelosingtheirminds #StopTheMadness #stoppanicbuying",Extremely Positive
"Washington, DC","COVID-19 restrictions sparking a run on cannabis stores

They're not closed yet! But Customers are stocking up on cannabis this weekend, preparing for what could be more retail store restrictions in coming days. https://t.co/WMqR8QWoiG",Neutral
"Washington, DC","""Everything were seeing in the current COVID-19 outbreak has been seen before in previous epidemics and pandemics; the rise of fear, racism, panic buying of food and medicines, conspiracy theories, the proliferation of quack cures"" https://t.co/Pr8NpKX41A",Extremely Negative
"Ohio, USA","Everyone is closed, but we remain open because we are an emergency store. Thank your retail workers.

#covid_19 #pandemic #socialdistancing #retail https://t.co/WtB0B1AMON",Neutral
"Ogden, UT","Why we stock up on water... cause utility companies will shut you off in the middle of a pandemic... the schools close thier doors, you lose out on work cause your kid has no where to go... and you cant afford months worth of food. #coronavirus @SenatorRomney https://t.co/0CV0793olS",Negative
,"Dear Coronavirus, 
I've been following social distancing rules and staying home to prevent the spread of you.  However, now I've spent an alarming amount of money shopping online.  Where can I submit my expenses to for reimbursement? Let me know.
#coronapocolypse #coronavirus",Positive
,Global food prices before the spread of COVID 19 intensified across several geographies We could see further downward pressures in the coming months due to continued well supplied markets and the negative impact on demand resulting from the virus,Extremely Negative
"West Midlands, England",Morning everyone have a great and safe day. ??? #coronavirus #StopPanicBuying #BeKind #mufc #MUFC_Family,Extremely Positive
"Reno, NV","Of all the things to panic buy in an emergency, I don't get why toilet paper is so important. If you're afraid of the worst case scenario, just wash up in the tub and use your money on food. Y'all crazy. #coronavirus",Extremely Negative
San Clemente,"THANK YOUR GROCERY CLERK!
Went to grocery store today and looked into the weary eyes of the clerk.
I thanked her and realized that she was thrust on the front line of this panick. A new breed of first responders? They are working hard to serve their communities. #coronavirus",Positive
,"With the outbreak of Covid-19 in entire world, the retail shops in Malaysia is facing a great challenges. In the near future, online shopping will be a surprise way for all the people while many will lost their jobs. #Malaysia2020 #Malaysia #COVID?19",Extremely Positive
,"My thoughts on impacts of coronavirus on food markets
https://t.co/bPodDdPRcE",Neutral
"Spokane Valley, WA","Consumer Corner: #Scammers Taking Advantage Of #COVID-19 Fears

#coronavirus #cdc #flu #trends #alert

https://t.co/sk9qCJsnYl https://t.co/T7qejP3hys",Negative
Drifter ,"4. ""Both the masks made for medical personnel and for consumer purchase require a once-obscure material called melt-blown fabric.""

https://t.co/3hCd9IiWoX",Neutral
"Hamilton, Ontario","My work is capitalizing on the  demand for packaged food and making us stay open as opposed to closing for all our health and safety #LockdownCanada
#coronavirus",Positive
"Dallas, TX","So, are we feeling like it's ethical to still do stuff like order deliveries (food, online shopping, etc.), ship ""isolation"" care packages to loved ones, etc.? #COVID2019",Extremely Positive
Boston,What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives https://t.co/Ybg8Zupdf6 via @pymnts,Neutral
,Bought a house during Covid-19 panic. Didnt think to buy food for the house. Tragic.,Extremely Negative
The European Union,Seen in a Facebook group - businesses need to stop increasing prices on essentials while we are in an emergency situation - its frankly despicable and is totally void community spirit! #nameandshame #covid?19uk #coronavirus #Liverpool https://t.co/StTAkyqQiZ,Negative
"London, England","@BobJLowe Sadly those are the misinformed thinking that COVID-19 gives diarrhoea, therefore they had to stock-pile toilet papers. ? ATM, hygiene and food are more important.",Negative
Melissa Schuman is a Liar ??,@TinaMcCauley70 Yeah my parents are risky people to the covid 19 thats why we stay at home just go to the supermarket when really necessary.. stay safe too ....,Positive
"Canvey Island, Essex, UK","CN - #Coronavirus #COVID19 

I will be in the group (and so will my Mum, who I live with) in the group that needs to be ""shielded"" for 12 weeks (3 months). This will mean staying in. I hope I can still get the online shopping that I need.",Positive
NCSU,"Its kind of like how saying a word over and over makes it not sound like a word anymore.

For many of the people who dont think the COVID-19 news is BS, its making them go to the stores and panic buy food and basic necessities until theres nothing left.",Neutral
,"Hi, COVID-19. Thanks for making me do more online shopping.",Positive
,"Corona scare sends sea-food prices skyrocketing in Mumbai

&gt;&gt; https://t.co/GB11EFBYIB 

#seafood #coronavirus #CoronavirusOutbreak #CoronavirusReachesDelhi #Coronavid19 #CoronaVirusUpdates #COVID2019 #COVID19 #JhalakBollywood #JhalakKollywood #JhalakTollywood https://t.co/U5Dg3LoFYG",Neutral
"Morgantown, WV",Pausing student loan payments in addition to halting interest accumulation amp stopping punitive student loan collections would provide much needed immediate relief to those individuals unable to work amp are facing economic hardship,Neutral
,"@balajis On the consumer side - the tech is there (some Chinese group already demostrated ELISA test strips for COVID-19, though details were lacking). For consumer though @US_FDA would have to deem it as a waived test, which doesnt come that easily",Positive
MA & New England by way of CA,Lost wages either due to illness from 19 or to the virus  economic impact will mean an increased demand We urge and to support a bill that includes support for food banks flexibility for and school meals and increased,Extremely Positive
"Napa, Ca","The actions of some are so selfish. If I were CEO of a grocery store, from 7-9 am would be a time for people over 65 to shop; show ID. I just saw a young couple with 300 rolls of tp. No one is that full of crap. Well maybe

#CoronavirusOutbreak 

 https://t.co/Hrbzmh95VQ",Extremely Negative
New York City,Coronavirus poses a complex puzzle for food-delivery companies - their delivery capacity may buckle under surging demand. https://t.co/1C1cMLmQii via @WSJ #services #food #delivery #coronavirus,Negative
Cornwall England,"@TheJoshuaTurner @Loreign83 @peanut_astro @my_amigouk @afneil @BorisJohnson @patel4witham This is both disgusting and disgraceful charging over inflated prices for items for stopping the spread of COVID-19, the government really needs to do something abou",Extremely Negative
"Boston, MA","As more retailers close physical stores or curtail hours as a result of Covid-19, it is agoing to put additional pressure on other omnichannel alternatives like grocery delivery and curbside pick up.  https://t.co/kgyDow3Nrz #covid19 #ecommerce #omnichannel #retail #digital",Positive
"Whittier, CA","Check out what these folks are up to here in So Cal ? I like this idea ?

La Habra supermarket offers special hours for seniors amid COVID-19 crisis https://t.co/ncTXF8TGyf",Positive
Great Wakering Essex,"Love it or hate it, head advice @10DowningStreet &amp; @BorisJohnson 
Blip in our lives but its happening!
?? Dont whinge about what you cant do 
?? Dont panic buy as food wont run out
?? DO spend time with the family
?? DO use common sense
#coronavirus @WorldHealthOrg2",Positive
"Andersonville, Chicago, IL","An open letter to consumer-debt holding organizations and others: We are at the precipice of a crisis of household economy. Please suspend debts (and interest/fees) for sixty days in response to the COVID-19 crisis.

Feel free to sign here:

https://t.co/JMZZJOmNT9 https://t.co/YR2tcPx1Ee",Extremely Negative
"Sydney, Australia","#COVID?19 #COVID19Aus #coronavirus Just wanted to spread this news to all older Australians, particularly those still mobile but without family support: https://t.co/yDGX4lK8L0",Negative
"Boston, MA","Sadly, this does not surprise me
Heard from one payer exec that they are laying low, hoping all blows over. 

Mind bogglingly stupid and this was a nonprofit Blues plan! https://t.co/zr67d1u12Q",Extremely Negative
"Barnsley, England",I work in retail I keep stock back for our older customers so when such as frank comes in store for his bread and he sees a empty shelve I say dont worry pal Ive saved you 1. Same as pat n her beans. Could I get disciplined? Yes do I care ? No Ive got a ?? #coronavirus,Positive
"Bangkok, Thailand",In attempts to lengthen runways marketing budgets are being slashed hiring is being frozen and staffing matrices are being redrawn and dive deep into how consumer startups are battling the impact of on their business,Negative
"Windsor, Ontario, Canada.","...at this time, our distillery remains in operation, but we will not be offering public tours or hosting functions or events. Our retail store is also closed...""
https://t.co/lYZg2kfsm0",Neutral
"Los Angeles, mostly","Please don't hoard food and water. There's absolutely no need to panic buy; the supply chain is completely interrupted. And above all, please don't hoard sanitizing products; there are people out there who really need them, probably more than you. #DontPanicBuy #coronavirus",Negative
,"The fact that canned food, toxic chemicals and store bought hand sanitizers are out of stock, yet fresh fruit, vegetables and herbs are FULLY stocked, shows that humans have no idea how the immune system works.
#QuarantineLife #COVID2019",Extremely Positive
"Houston, TX","Just called mum and dad in UK (over 70). They are great but I offered help with online shopping etc. We might sometimes forget that this is not always easy.

Do the same if you can. ??
If you are far from your parents like me Tech can be really useful. #COVID?19  #Coronavirus",Extremely Positive
KDH,People seen stocking up on goods into trolleys after the panic buying rumours spread today at hypermarket in Kajang March 16 2020 Picture by Shafwan Zaidon,Negative
"Worcester, Massachusetts","As we often see during major news events, criminals will try to take advantage of any situation. The Coronavirus, or COVID-19, is no exception. Here is some guidance from the Attorney General's office: https://t.co/KT5J4QqCwS",Negative
"Leicester, England","Pretty sure within a week or two, supermarket supply chains will dry up as more counties are effected by Covid-19 (and possibly go into lockdown). If so, would the government introduce a form of rationing so that people can eat? Somehow I don't think so.",Extremely Positive
"Adelaide, South Australia","Supermarket workers are at the frontline of COVID-19.

These are extraordinary times and retail is under extreme pressure.

When shopping, please remain calm and thank the workers that are doing everything they can to keep the shelves stocked and the checkouts moving. https://t.co/0uHGM8gsp8",Positive
FREE goal setting guide ??,"Worried about COVID-19? 

I more worried about people panicking.

Having a plan:

&gt; You're not panic buying food.
&gt; You can focus on the important issues. 
&gt; You have the best opportunity for a positive outcome.

Create structure, reduce key decisions. Flourish

Stay safe.",Extremely Positive
"Washington, DC",".@kroger is the biggest supermarket chain in the United States.

It has 453,000 employees and many receive no sick leave.

Even after 2 employees tested positive for COVID-19, @kroger still won't provide paid sick leave to everyone

https://t.co/19uNybttHl",Positive
"Washington, DC","@kroger Instead of paid sick leave, @kroger is providing 2 weeks paid leave ONLY to people who test positive for COVID-19 or are placed under mandatory quarantine

This is insufficient to protect staff and the public, especially with little testing av",Positive
San Joaquin Valley CA,I followed this when I went shopping a few days ago. It's a pain but necessary! Protect Yourself From Grocery Shopping - Consumer Reports #COVID2019 #StayHealthy https://t.co/48nG14me6E,Positive
Planet Earth,"@joncoopertweets I took these pictures today at my home grocery store in Montgomery County, MD. No flour, sugar, sweet potatoes, potatoes, orange juice, paper towels, or toilet paper. Low on meat, mac &amp; cheese. #coronapocolypse #Covid_19 #panicbuying ",Negative
"Portsmouth, England","I hate grocery shopping in general but I swear Im doing it online next shop, can not deal with the swathes of panic buyers at all! #COVID?19 #coronavirus #coronavirusuk #anxiety #panicbuyinguk #morons",Extremely Negative
"London, UK and....",Rapid delivery food order made (since no slots elsewhere for weeks). All seemed fine until email listing what was out of stock. They are about to deliver...one bottle of orange juice! #coronavirus #panicbuying #whatashitshow,Negative
,"THANK YOU To all the grocery store employees for working so hard making sure everyone is getting what they need.
Please be kind to them its not their fault that we are short on supplies.
#Corona #covid_19 @ https://t.co/QC0uNeVQej",Extremely Positive
USA,"This also needs to be said: going to the grocery store cannot be done completely safely. Meaning, without the risk of getting the #coronavirus or of spreading it. You can reduce risk by staying more than 6 ft from other people &amp; washing your hands, but you can't eliminate it. 1/3",Positive
I try to be politics free but will comment on Trump/GOP policy as the news is dominating tape.,"Maybe the coming recession might play in three phases:
(1) Damage on main street by COVID-19 [ongoing]
(2) CB rescue, temp. recovery on credit mkt, but no recovery on consumer econ
(3) Unknown second shock later finally brings wall street down altogether
$SPX $RUT $NDX",Extremely Negative
,You know it's the end of the world when @BootsUK Surgical Spirit is out of stock online and (won't be receiving any further stock) - How am I supposed to disinfect my hands now ? #coronavirus #coronapocolypse #panic #shopping https://t.co/iQIpUz50Sc,Extremely Positive
d.,"This is getting real in my world and I know its been real in so many worlds. If you can, please sign this petition for food and bev people in Colorado!? https://t.co/xnmgljLOsV",Positive
"Abilene, TX","Amid 'social distancing' during COVID-19 crisis, Starbucks moves to 'to-go' only https://t.co/HbJDKnjPrD",Extremely Negative
"Abilene, TX","Abilene bar feels economic impact of COVID-19
https://t.co/YH5Oyx2VT4",Neutral
"Denver, CO","UPDATE: Make sure to check your local listings to see what is open/closed at what times.
Chick-fil-A (Drive through only)
Starbucks (Using to-go model)
Early closing include King Soopers, Sam's Club etc..
https://t.co/8yP3x1MH4h",Positive
"Los Angeles, CA",A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older. https://t.co/6B0xjUUI0G,Positive
"Los Angeles, CA",A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older.? https://t.co/U3An6bnU5L,Positive
,"They should have something where the elderly and the people (who don't stock up a ton of food, essentials) can buy what they need first,  then  the more greedy and panick buyers can get what they need. ?? #stoppanickbuying #thinkingofothers #coronavirus #COVID19",Negative
Kansas,"Kids Get Mild COVID-19 Symptoms, But Chance of Transmission High: Study https://t.co/MKxFtAk74d",Positive
"Fort Wayne, IN",New @CSPI consumers guide examines how 20 largest restaurant chains by sales are handling paid sick leave during COVID-19 pandemic. Results not good: 60% didnt disclose any paid leave policy and only 3 chains offer sick leave at all locations nationwide https://t.co/YPJClnpMi2,Extremely Negative
Lots of different places,"@SPARintheUK Can you confirm why in store signage says you're taking extra precautions in light of COVID-19, when staff are stating nothing is changing. 

What efforts are your management doing to protect your retail workers?  Speed is crucial here. ",Positive
"Berkshire, England","More idiots at work causing unnecessary problems of empty shelves in supermarket.
He's got enough rice to last him for 2 years.
#Covid_19 #panicshopping #pricegougers #Idiots https://t.co/F6K5c2S3bE",Negative
"Berkshire, England","It's fringing idiots like him who have caused prices to rise &amp; create shortages. He's also probably wasted a lot of money as some will have expiry dates.
Shopkeepers must use rationing to be fair to customers.
#Covid_19 #pricegougers #Hoarders #Idiots #panicbuying #selfishpeople https://t.co/TWlpw3q0mj",Positive
"Washington, DC","CONGRESS (TEMPORARILY?) PARALYZED 

 House still finalizing technical corrections to coronavirus bill
 @replouiegohmert currently holding it up anyway, insisting bill be read on the floor, which would require House returning 
 Senate fighting about other issues",Negative
"Long Beach, Calif., USA","The Consumer Financial Protection Bureau has reported that one employee tested positive for COVID-19. Federal financial regulators are mandating that most employees work from home. 
https://t.co/MhUu7mffPT",Positive
,@AirCanada very poor customer service if you let the algorithms run the prices up in states of emergency and do not refund the cost. Also very poor staffing @Airport_FRA #COVID2019,Extremely Negative
,"I love this ?? all grocery stores should have a set hour (preferably in the morning) for the elderly population or those with compromised immune systems to use the store. Thats good, clear thinking.
.
@brianschatz @maziehirono @NYGovCuomo @GovInslee 
#COVID?19 #coronavirus https://t.co/TMQH0CSeIN",Extremely Positive
,"If you temporarily lost your job, check out Amazon. They are hiring to handle surge of coronavirus related buying. https://t.co/xQq7wqaGid",Negative
"Melbourne, Australia","@cgafun @DanielAndrewsMP My daughter is 16, and has stories like that from her friends with supermarket jobs. One of them said ""Why do adults act like COVID-19 is my fault?"". Or having to stand up to a middle-aged woman who refused to put back 5 boxes of ",Positive
"Wakefield, England",Currently self isolating as Im symptomatic. Thinking how to support elderly neighbour/ friend. Ive done her online shopping for her (agreed it over the phone!) and calling her daily! We might even attempt a skype video call... #unitedagainstdementia #coronavirus  @alzheimerssoc,Extremely Positive
"Los Angeles, CA","If youre the people walking into retail stores... youre the problem. Youre responsible for making this shit spread. Feel guilty, stop shopping. Online shopping is available from home. #coronavirus #retail #Covid19Walkout",Extremely Negative
,"NYS is aware that there is an uptick of #Coronavirus scams on social media, emails, texts and websites. 

If you're aware of a scam involving a financial product or service, visit the @NYDFS website or call their Consumer Hotline at: 1(800) 342-3736.

https://t.co/MqPbpLOZyY",Extremely Negative
????? ???? ????????,#unpopularopinion You'll be able to tell how much a community understands of the restricted movement order by how empty their supermarket shelves are. #COVID2019 #Malaysia2020,Negative
"Pennsylvania, USA",Will katie and I be moving in this weekend amongst the COVID 19 panic Yes Will have food or toilet paper No Will we have any self respect Also no but at least we ll have each other,Negative
LA ,We need more of this to help seniors #CoronavirusOutbreak https://t.co/D09B71I699,Positive
United States,FYI it s called the not the Chinese Virus Notice nasty mentions supporting industries to help his stock market trump s still trying to CUT Medicare amp Social Security benefits food stamps AND remove pre existing conditions coverage from ACA,Extremely Positive
"Charlotte, NC","Stores in Charlotte continue to voluntarily shut their doors due to #coronavirus concerns. This is a tough decision, but one many stores deem necessary. Remember, when possible, online shopping is an option if you still want to support businesses @SpecNewsCLT https://t.co/hrCCohkFWE",Positive
Mountain View,"@HEB I like shopping at H-E-B and am a fan. Appreciate your efforts to limit food shortage &amp; COVID-19 spreading, tho my concern is with the lack of push towards curbside pickups &amp; delivery. The 3% additional charge per each item on the cart for on",Positive
Michigan,"? HAPPY M O N D A Y Friends ?
-
I know everyone is uneasy about all thats going on with the #coronavirus but lets not forget about our small business who need our support! Whether youre shopping online or ordering https://t.co/AibxMekdro",Extremely Positive
 Malaysia,"Good move in tackling down the Covid-19 spreading. 

Now please implement a new policy to restrict consumers from hoarding goods at any supermarket/grocery stores. No point creating safety measurements if some people cant be changed from being selfish.",Positive
The Great State of Texas,"My office is ready to prosecute price-gougers as we deal with #coronavirus.

Any Texan who needs to file a #pricegouging complaint should call 800-621-0508 or online at: https://t.co/IFq3ZB7Tl5",Negative
The Great State of Texas,"?CONSUMER PROTECTION ALERT? 

Be aware of #coronavirus related cyber security scams!
 Do NOT reveal personal or financial info in emails.
 AVOID clicking on unsolicited links.
 Use trusted sources, ALWAYS.
Report attacks! Need to file a complaint?
https://t.co/XWDm4JWZo0",Negative
Nairobi,"23:31 #KenyanTraffic Queues to buy guns in LA ?
Buyers tell me theyre scared of what will happen if people run out of food and supplies, and they need to protect their families Were live on @TheTodayShow as #coronavirus panic hits LA. https://t.co/ehSQGGxoql via @AmeliaAdams9",Negative
"Dunedin City, New Zealand ",Spark s Manila call centre is closing to help prevent the spread of Covid 19 Calls will be routed to NZ based help deskers instead Spark is asking for patience with calls and that people use the MySpark app or visit a retail store,Extremely Positive
"Phoenix, AZ",I feel like I won the #lottery just now. How much is this worth on the #stockmarket #toiletpaper #Arizona #coronavirus #StopPanicBuying #FoxNews #fox10phoenix https://t.co/PLJCt49ik7,Extremely Positive
"Columbus, Ohio","it's a bad habit i'm definitely guilty of but all OR/hospital staff definitely need to avoid wearing #scrubs in public. especially now, nobody wants to see that at the grocery store! ?#covid19 #Medtwitter #coronavirus",Negative
